_id,id,label,document,entailment,contradiction,neutral
0,390,5,黑龙江黑河“100多人带着病毒回来了”,“100多人带着病毒回来了”发生在黑龙江黑河,黑龙江黑河没有“100多人带着病毒回来了”,重走抗联路!吉林省委党史研究室率专家一行实地踏查老黑河
1,241,7,钟南山预测“5月疫情将全面爆发”,“5月疫情将全面爆发”被钟南山预测,钟南山没有预测“5月疫情将全面爆发”,八旬妻子球场上边投篮边等钟南山回家
2,867,7,病毒会漂浮在空气中形成“病毒云”,“病毒云”是由漂浮在空气中的病毒形成,病毒不会漂浮在空气中形成“病毒云”,米兰官方:皮奥利新冠病毒检测呈阳性
3,64,7,北京五棵松华熙“沦陷”,“沦陷”发生在北京五棵松华熙,北京五棵松华熙没有“沦陷”,11月北京哪里的房子有潜力?看海淀五棵松房价走势
4,209,4,“五一”离开温州回来需自费做核酸检测,“五一”离开温州回来需自己出钱做核酸检测,“五一”离开温州回来不需要自费做核酸检测,浙江温州皮革厂倒闭了
5,722,7,长颈鹿充气服公鸡服……“硬核防护服”真有用,“硬核防护服”真有用长颈鹿充气服公鸡服,长颈鹿充气服公鸡服……“硬核防护服”真没用,"长颈鹿交配时一方会先喝尿?这是独特的爱好,还是另有原因!"
6,962,8,美 14 万流感死者或部分死于新冠,14 万流感死者或部分死于新冠在美国,美 14 万流感死者或没有死于新冠,云南省疾控中心提醒:防范流感需及时接种疫苗
7,1013,3,15 秒未戴口罩接触病患被感染,15 秒未戴口罩接触病患有被感染的风险,15 秒未戴口罩接触病患不会被感染,疫情期间不戴口罩很不安全
8,21,6,宁波高新区新增1例确诊病例,1例确诊病例在宁波高新区新增,宁波高新区没有新增1例确诊病例,"宁波70后富豪香港被砍,神秘发家史成谜"
9,42,7,广西一酒店接待北京客人致20多人发烧被隔离,20多人发烧被隔离由于广西一酒店接待北京客人,广西一酒店接待北京客人并没有致20多人发烧被隔离,天气将迎转折!@广西人 降雨订单即将到货 请注意签收
10,452,5,25日起非香港居民乘飞机抵港将不准入境,25日起乘飞机抵港的非香港居民将不准入境,25日起非香港居民乘飞机抵港将可以入境。,非香港居民不准在香港购房
11,313,2,山东烟台某医院新确诊27例,27例病例在山东烟台某医院确诊。,山东烟台某医院没有确诊27例病例。,山东烟台某医院出现新增新冠肺炎确诊患者。
12,526,8,北京3月16日出行正常化24日全面复工,3月16日出行正常化24日全面复工发生在北京,北京3月16日出行正常化24日并不全面复工,特别关注-北京]德国中学自制通风设备 可媲美高端空气过滤器
13,624,8,3月2日后新疆分三类地区实施管控,3月2日后管控将被分三类地区实施在新疆,3月2日后新疆不会分三类地区实施管控,中国新疆告别千年贫困
14,690,6,北京市大中小学3月初开学,3月初开学发生在北京市大中小学,北京市大中小学3月初不开学,北京冬奥会官方赞助商已达37家
15,380,6,河北学校定于4月10日开学,4月10日河北学校开学,河北学校没有定于4月10日开学,"河北省的3个县,卡在北京和天津之间,为何成为了飞地?"
16,326,7,牡丹江4月13日起全市封城,4月13日起牡丹江全市封城,牡丹江4月13日起不会全市封城,牡丹江市疾病预防控制中心发布紧急疫情风险提示
17,306,5,陕西高速公路4月15日起恢复收费,4月15号起恢复收费的高速公路有陕西高速公路,陕西高速公路4月15号起不会恢复收费,陕西高速公路上发生事故
18,353,8,4月8日起从26国乘机回国的中国籍旅客需提前填报防疫健康信息,4月8日起从26国乘机回国的中国籍旅客的防疫健康信息需要被提前填报,4月8日起从26国乘机回国的中国籍旅客不需提前填报防疫健康信息,“振华7号”中国籍船员遭海盗袭击受伤 意大利护卫舰实施援助
19,403,7,重庆观音桥新增6名确诊病例娱乐场所将全部关闭,6名确诊病例在重庆观音桥新增娱乐场所将全部关闭,重庆观音桥没有新增6名确诊病例娱乐场所将全部打开,"三溪镇观音桥村:农旅融合“院”为媒,乡村振兴辟蹊径"
20,371,2,6月份大学英语四六级考试取消,6月份大学英语四六级考试被取消了,6月份大学英语，四六级考试没有被取消,四六级考试难度变化
21,585,8,买回家的蔬菜必须用75%的酒精消毒,75%的酒精需被用于消毒买回家的蔬菜,买回家的蔬菜必须不要用75%的酒精消毒,"翻车后被带去测酒精,醉酒男子辱骂殴打交警"
22,72,6,北京市教委发布7条校园“新规”上课全程戴口罩,7条校园“新规”上课全程戴口罩被北京市教委发布,北京市教委没有发布7条校园“新规”上课全程戴口罩,北京市教委:民办非学历学校禁单独称“大学”
23,957,6,十三名男女生感染 sk5 病毒,sk5 病毒被十三名男女生感染,没有十三名男女生感染 sk5 病毒,"研究2000份学生样本后,他们发现了男女生学数学的秘密"
24,137,4,安徽六安第二人民医院确诊一例,安徽六安第二人民医院确诊一例,安徽六安第二人民医院没有确诊病历,来自安徽的李伟同学在双十一过后找到了女朋友
25,1100,8,北京公交线路营运安排调整,安排调整发生在北京公交线路,北京公交线路营运安排没有调整,"中科院领导班子有调整,于英杰任党组成员"
26,1072,3,吃板蓝根可以预防新冠病毒,板蓝根可以预防新冠病毒,板蓝根不可以预防新冠病毒,板蓝根可在药房购买
27,10,7,五台山不接待北京河北等地游客,北京河北等地游客不被五台山接待,五台山接待北京河北等地游客,"陕西也有五台山,一座古迹遍地一座修行圣地,都值得前去欣赏"
28,34,8,钟南山来北京了,北京来了钟南山,钟南山没来北京,"钟南山爱情上热搜,看哭亿万人:“你等我八年,我等你一生!”"
29,67,3,北京断粮了,北京市断粮了,北京没有断粮,北京市中国的首都
30,695,4,北京西城区政府“停摆”,北京西城区政府停止运转,北京西城区政府没有停止运转,北京是中国的首都
31,1119,6,钟南山院士被传染,被传染的人有钟南山院士,钟南山院士没有被传染,"“再感染是可能的 但并非普遍现象”,钟南山最新研判来了!"
32,386,6,清明出京返回必须居家隔离14天,必须居家隔离14天如果,清明出京返回并不必须居家隔离14天,老人撕出11米清明上河图 以手代剪耗时10个月
33,269,8,天津开学时间又变了,变化发生在天津开学时间,天津开学时间又没变,"民俗| 今天这个节,天津人可以这样过!"
34,535,3,丙种球蛋白能预防新冠肺炎,丙种球蛋白能预防新冠肺炎,丙种球蛋白不能预防新冠肺炎,丙种球蛋白和新冠肺炎的内容可以通过搜索引擎查询具体内容
35,884,4,降雪会抑制病毒传播,病毒传播可以通过降雪抑制,病毒传播不可以通过降雪抑制,降雪可以抑制虫害
36,1112,2,香油滴鼻孔可防病毒传播,病毒的传播可以通过香油滴鼻来预防。,香油滴鼻孔不可以预防病毒的传播。,泰国的香油很好闻
37,844,3,常用的消毒剂也可以有效灭活病毒!,病毒可被常用消毒剂灭活,常用的消毒剂也不可以有效灭活病毒!,可以在超市购买常用消毒剂
38,1065,1,家里的宠物会传播病毒,病毒可能会通过家里的宠物传播,家里的宠物不会传播病毒,家里的宠物可以给人们带来快乐
39,1017,5,下雪可以杀死病毒,病毒可以被下雪杀死,下雪不可以杀死病毒,"拉尼娜出现反弹?持续到冬季的概率大大增加,我国南方会下雪吗?"
40,1055,1,喷嚏一打几米远病毒可悬浮24小时,病毒可以通过打喷嚏在空气中悬浮24小时。,喷嚏一打几米远，不会使病毒在空气中悬浮24小时。,打喷嚏是很正常的情况。
41,730,1,空气净化器能过滤掉病毒,病毒可以通过空气净化器被滤掉,空气净化器不能滤掉病毒。,空气净化器可以改善空气质量
42,1018,1,沐舒坦可以防止新冠肺炎,病毒可以通过沐舒坦来预防。,新冠病毒不可以通过沐舒坦来预防。,木舒坦在药房的销量很高。
43,926,1,万金油抗生素可以预防病毒,病毒可以通过万金油抗生素来预防,万金油抗生素不可以预防病毒。,万金油抗生素可在药店购买
44,445,8,新冠肺炎病亡患者体内仍存病毒,病毒仍存于新冠肺炎病亡患者体内,新冠肺炎病亡患者体内没有仍存病毒,"【警惕】知名演员患癌去世!这种病死亡率很高,占恶性肿瘤之首"
45,434,2,武汉市政府不再对新冠肺炎病人免费治疗,病人不会在武汉市接受针对新冠病毒的免费治疗。,武汉政府仍对新冠病肺炎患者进行免费治疗。,武汉市交通出行方便。
46,885,4,不戴口罩驾车被扣6分,不戴口罩驾车被扣6分,不戴口罩驾车不会被扣分,驾车不能超速行驶
47,282,4,成都市成华区有新冠确诊病例偷跑回家跳楼,成都市成华区出现新冠确诊病例跑回家跳楼,成都市成华区有新冠确诊病例偷跑回家,小明偷跑回家跳舞
48,1097,3,吃大蒜、喝大蒜水可以杀灭新冠吗,吃大蒜、喝大蒜水可以杀灭新冠,吃大蒜、喝大蒜水并不可以杀灭新冠吗,大蒜水可以有效驱赶蚊虫
49,986,1,千万别出门玩雪会感染新冠病毒,出门玩雪会感染新冠病毒,出门玩雪不会感染新冠病毒,出门玩雪可以搭可爱的雪人
50,842,2,出门必须戴手套,出门有戴手套的必要。,出门不用戴手套。,冬天我们可以通过戴手套来保暖。
51,30,5,北京丰台一小区断粮,出现断粮事件在北京丰台一小区,北京丰台小区没有断粮,北京大兴机场综合服务保障楼正式启用
52,393,6,上海发生穿防疫服入室打劫事件,穿防疫服入室打劫事件发生在上海,上海没有发生穿防疫服入室打劫事件,三合社区为居民穿好“防疫服”
53,713,5,特定条件下存在气溶胶传播可能,存在气溶胶传播可能在特定条件下,特定条件下不存在气溶胶传播可能,"英国新研究:冲马桶时产生的气溶胶,可以污染1.8米外的物体表面"
54,590,6,济南市2月10日晚上12点大面积消杀消毒,大面积消毒发生在济南市2月10日晚上12点,济南市2月10日晚上12点没有大面积消杀消毒,济南市发布重污染天气橙色预警 14日8时将启动Ⅱ级应急响应
55,874,3,带呼吸阀的口罩没有防护效果,带呼吸阀的口罩没有防护效果,带呼吸阀的口罩有防护效果,口罩有预防效果
56,301,8,政府发口罩费微信可领取到6月30日,到6月30日微信可领取政府发口罩费,政府发口罩费微信不可领取到6月30日,安远镇岗乡:口罩免费发 干群是一家
57,73,9,钟南山说第二个疫情高峰要来,第二个疫情高峰钟南山说要来,钟南山说第二个疫情高峰不会来,《化妆品监督管理条例》政策宣贯高峰论坛在沪召开
58,1033,3,丁香医生说童子尿可预防新冠病毒,丁香医生说童子尿有预防新冠病毒的作用,丁香医生没说过童子尿可预防新冠病毒,童子尿可以用来煲汤
59,388,4,东京将于4月2日封城,东京将于4月2日封城,东京将不会在四月封城,MIT的脑科学家回日本东京了
60,83,9,新冠病毒不会倏然而去冬秋季节要存戒惧之心,冬秋季节要存戒惧之心由于新冠病毒不会倏然而去,新冠病毒会倏然而去冬秋季节不要存戒惧之心,阳曲县组织召开寒衣节祭扫暨秋冬季护林防火工作电视电话会议
61,1146,5,武汉将断网,断网将发生在武汉,武汉不会断网,全国前十医院武汉新增一家
62,103,1,刮风下雨对新冠病毒传播有加速作用,对新冠病毒传播起加速作用的是刮风下雨,刮风下雨对新冠病毒的传播不起到加速作用。,下雨是我不喜欢的天气。
63,525,4,多地延长供暖不另收费,多地延长供暖不另收费,多地延长供暖另收费,东北有供暖系统
64,910,1,多地要求乘公交验身份证,多地要求乘公交验身份证。,多地不要求乘公交验身份证,乘公交需要刷交通卡。
65,97,8,常州溧阳一小学多名学生发热,多名学生发热发生在常州溧阳一小学,常州溧阳一小学无多名学生发热,常州首家!溧阳消费维权进高校!
66,74,8,北京养老服务机构恢复执行二级疫情防控标准,二级疫情防控标准在北京养老服务机构恢复执行,北京养老服务机构没有恢复执行二级疫情防控标准,"冷空气来袭!父母开启“候鸟式养老”,网友们不淡定了"
67,917,9,深圳龙华医院集装箱隔离发热病人2010例,发热病人2010例在深圳龙华医院集装箱隔离,深圳龙华医院集装箱没有隔离发热病人2010例,微软:上海龙华医院选用 Surface Pro 7 作为日常办公机型
68,916,3,返程了上海火车站人山人海,返程了上海火车站人山人海,春节了上海火车站人山人海,上海火车站凌晨人很少
69,906,1,离开成都再回来需要隔离14天,返回成都需要经过14天的隔离。,离开成都再回来，不需要14天的隔离,成都的火锅很辣很辣很辣。
70,943,2,中国向菲律宾捐赠20万只口罩,菲律宾收到中国捐赠的20万只口罩,菲律宾向中国捐赠了20万只口罩。,可以预防新冠病毒的传播。
71,971,5,新冠肺炎病人的肺部损伤不可逆,肺部损伤不可逆对于新冠肺炎病人,新冠肺炎病人的肺部损伤可逆,"脸上若有这4种“迹象”,或是肺受损的“信号”,若有要注意养护了"
72,1145,6,杭州为控制疫情将封城,封城将被采取用于控制疫情在杭州,杭州为控制疫情不会封城,"杭州楼市动向:投资客注意,大江东的房价配不上它的规划"
73,419,4,福州软件园有境外人员回国后确诊,福州软件园有境外人员在回国后确诊被感染,福州软件园有境内人员回国后确诊,境内境外人员都有被确诊感染
74,506,8,每天用肥皂洗鼻窦可以降低感染肺炎风险,感染肺炎风险可以每天用肥皂洗鼻窦来降低,每天用肥皂洗鼻窦不可以降低感染肺炎风险,"梅西今天赛前再次身体不适干呕,可能因慢性鼻窦炎引起"
75,953,9,服用降压药会增加感染新冠病毒的风险,感染新冠病毒的风险会被增加如果服用降压药,服用降压药不会增加感染新冠病毒的风险,"专家提醒:各种降压药副作用,建议转发"
76,267,1,新冠肺炎确诊患者乘坐火车来了赣州,赣州有通过从坐火车前来的新冠肺炎确诊患者,新冠肺炎确诊患者没有乘坐火车来到赣州。,乘坐火车去赣州需要多少钱
77,70,7,交通运输部高风险地区地铁满载率应低于50%,高风险地区地铁满载率应低于50%据交通运输部宣称,交通运输部高风险地区地铁满载率应高于50%,北京公交将恢复正常 满载率上调至100%
78,61,2,进京高速因疫情影响封路,高速因受疫情影响而封路。,进京高速没有因疫情影响封路。,进京高速真的很快。
79,286,7,疫情期间减免企业社保费会影响个人社保缴费连续记录,个人社保缴费连续记录会被疫情期间减免企业社保费影响,疫情期间减免企业社保费不会影响个人社保缴费连续记录,事关你的钱袋子!这些地方社保有大变化 有何影响?
80,751,2,古田一确诊患者从医院逃跑,古田一确认患者从医院中逃跑。,古田没有确认患者从医院逃跑,上海新增确认患者一名。
81,332,4,广州市两名外籍人员带病逃脱,广州市两名外籍人员带病逃脱,广州市两名外籍人员带病逃脱是假新闻,广州的双皮奶真好吃
82,748,4,贵阳今明几天全城大消杀,贵阳今明几天全城大消杀,贵阳今明几天全城大消杀是假消息,贵阳大消杀的的消息在网上可以查到
83,367,7,国家卫健委全国绝大部分地区健康通行码已可实现“一码通行”,国家卫健委健康通行码已可实现“一码通行”已在全国绝大部分地区实现,国家卫健委全国绝大部分地区健康通行码不可实现“一码通行”,跨域互认!浙江健康码全省“一码通行”!
84,35,8,国家卫生健康委疾控局中高风险地区的高考考生要全程佩戴口罩,国家卫生健康委疾控局口罩要全程被中高风险地区的高考考生佩戴,国家卫生健康委疾控局中高风险地区的高考考生不要全程佩戴口罩,确认!疫情中高风险地区已增至9个
85,620,1,哈尔滨封城了,哈尔滨封城了，外来车辆不允许进入。,哈尔滨没有封城。,冬天哈尔滨的冰雕展很漂亮
86,588,7,名字里带氯的消毒剂就是含氯消毒剂,含氯消毒剂就是名字里带氯的消毒剂,名字里带氯的消毒剂就不是含氯消毒剂,土壤改良杀菌消毒剂 二氧化氯消毒剂
87,1136,8,将有6万武汉人员来杭,杭将有6万武汉人员来,将不会有6万武汉人员来杭,今起杭图借书浙图可还!明年全省实现通借通还服务
88,52,4,河北文安一菜市场出现夫妻新冠肺炎已隔离,河北文安有一菜市场出现夫妻新冠肺炎已被隔离,河北文安一菜市场未出现夫妻新冠肺炎,菜市场买菜
89,422,5,宁波姜山镇一外来务工人员核酸检测阳性镇海区出现确诊病例,核酸检测阳性发生在宁波姜山镇一外来务工人员镇海区出现确诊病例,宁波姜山镇一外来务工人员核酸检测没有阳性镇海区出现确诊病例,核酸检测是查找患者的呼吸道标本
90,516,3,菏泽一中即将分批开学,菏泽一中即将分批开学,菏泽一中不会分批开学,疫情期间大部分中小学会分批开学
91,938,3,燃放烟花能遏制呼吸道疾病的流行,呼吸道疾病的抑制可以通过燃放烟花爆竹来实现,燃放烟花不能遏制呼吸道疾病的流行,过年期间外环内禁止燃放烟花爆竹
92,351,5,湖北发布最新疫情风险等级评估 武汉13个城区中12个为低风险,湖北发布最新疫情风险等级评估 低风险的城区在武汉13个城区中有12个,湖北没有发布最新疫情风险等级评估 武汉13个城区中12个为低风险,“双11”湖北购买力稳居全国前十
93,100,6,北京解除湖北人员进京限制,湖北人员进京限制被北京解除,北京没有解除湖北人员进京限制,部分有编、专业不限!湖北这些单位招人
94,463,2,湖北省民航航班要恢复了,湖北省银行航班可能要恢复了。,湖北省民航航班不会恢复。,民航航班可以飞国内航线。
95,941,6,武汉华南海鲜市场老板是湖北省政协副主席儿媳,湖北省政协副主席儿媳是武汉华南海鲜市场老板,武汉华南海鲜市场老板不是湖北省政协副主席儿媳,华南百色盆地手斧人群原料选择策略明显
96,796,8,湖北仙桃有人以“批条物资”名义贩卖口罩,湖北仙桃口罩被有人以“批条物资”名义贩卖,湖北仙桃没有人以“批条物资”名义贩卖口罩,"渔网VS法网,仙桃一夫妇非法捕捞被刑事处罚"
97,858,9,出门要佩戴护目镜,护目镜要在出门时佩戴,出门不要佩戴护目镜,上港申花安全抵达多哈 护目镜+防护服全副武装
98,593,1,疫情期间广东推行环境违法容错纠错机制,环境违法内容纠错机制，在疫情期间在广东推行。,环境违法，容错纠错机制没有在广东推行。,环境违法容错纠错机制效果如何
99,482,7,重庆渝中因出现输入性病例恢复一级响应,恢复一级响应由于输入性病例出现在重庆渝中,重庆渝中并没有因出现输入性病例恢复一级响应,与文化同行|周末来渝中看展 和温暖阳光更配哦
100,285,8,北京爬山收到河北短信回家后被隔离,回家后被隔离由于北京爬山收到河北,北京爬山收到河北短信回家后没有被隔离,"北京的“天然景点”,距天安门33公里,人称“京城绿肺”"
101,744,3,火神山医院一夜被吹走,火神山医院一夜之间被风被吹走,火神山医院没被吹走,火神山医院建设完毕
102,131,5,大连紧急排查吉林来普王某,吉林来普王某被大连紧急排查,大连没有紧急排查吉林来普王某,大连宽大房车 福特K7 C型房车
103,919,6,自来水采用上限标准加氯消毒用水时至少静置两小时,加氯消毒用水时至少静置两小时当自来水采用上限标准,自来水没有采用上限标准加氯消毒用水时至少静置两小时,"不用水,表也转,“被用水”让居民很抓狂"
104,776,5,重庆部分区县加油站限量供应,加油站限量供应出现在重庆部分区县,重庆部分区县加油站无限量供应,"今天早上8点,2020重庆马拉松激情开跑"
105,3,1,市民路过中高风险地区健康码会变色,健康码会因为市民路过中高风险地区而变色,市民路过中高风险地区健康码不会变色,现在进学校都需要看健康码的颜色。
106,818,2,社区共用体温计有风险或有交叉感染！,交叉感染可能会通过社区共用体温计发生。,社区共用体温计，没有交叉感染的风险。,社区共用体温计给社区中的人带来便利。
107,627,5,江西九江长江一桥解除封闭,解除封闭发生在江西九江长江一桥,江西九江长江一桥没有解除封闭,九江区域航运中心建设扬帆远航
108,513,5,进沪前14天内有过这8个国家旅行或居住史一律隔离14天,进沪前14天内一律隔离14天的人包括有过这8个国家旅行或居住史的人,进沪前14天内有过这8个国家旅行或居住史一律不隔离14天,南非向国际旅行者全面开放国境
109,678,6,网传牛蛙列入禁食名录,禁食名录中新增牛蛙,网传牛蛙没有列入禁食名录,广东中山——牛蛙爱好者N刷刷的地方
110,264,7,宝鸡暂停酒店婚庆等行业统一整改,酒店婚庆等行业被暂停统一整改在宝鸡,宝鸡没有暂停酒店婚庆等行业统一整改,"宝鸡“窑洞工厂”里,有一段鲜为人知的抗战工业内迁史"
111,677,9,北京金融街某通讯公司大楼发生聚集性感染,聚集性感染发生在北京金融街某通讯公司大楼,北京金融街某通讯公司大楼没有发生聚集性感染,"套用学生信息,办手机卡转卖给诈骗分子!通信公司6名业务员被抓"
112,543,8,河南新乡发布开学通知,开学通知在河南新乡发布,河南新乡没有发布开学通知,河南省教育厅回应筹建“中原航空航天大学”建议:将充分考虑
113,334,8,太原市各小学幼儿园本学期不做开学准备,开学准备不被做在太原市各小学幼儿园本学期,太原市各小学幼儿园本学期做开学准备,太原市尖草坪区发生2.9级地震!部分地区有震感
114,698,5,病毒在头发上滞留的可能性非常低,可能性非常低对于病毒在头发上滞留来说,病毒在头发上滞留的可能性非常高,"健康头条|输了大选的特朗普,“愁得头发都白了”?"
115,889,1,电吹风对手部和面部吹30秒能消毒,可以通过电吹风对手部和面部吹30秒，以达到消毒目的。,电吹风对手部和面部吹30秒，不能够起到消毒作用。,电吹风可以吹干头发。
116,69,3,通过停车场汽车数量推断疫情发生时间,可以通过停车场汽车数量推断疫情发生时间,不太可能通过停车场汽车数量推断疫情发生时间,停车场用来停车
117,1089,5,买不到口罩可以自制,可以自制口罩如果买不到,买不到口罩也不能自制,唯品会欲解雇收受供应商8杯咖啡2盒口罩的员工
118,394,5,冠状病毒病通过空气传播,空气传播可以传播冠状病毒,冠状病毒病不能通过空气传播,襄阳市新型冠状病毒感染肺炎疫情防控指挥部办公室
119,692,5,微信钱包能领取口罩补贴,口罩补贴能在微信钱包被领取,微信钱包不能领取口罩补贴,微信支付以绑定银行卡的快捷支付为基础，向用户提供安全、快捷、高效的支付服务。
120,837,2,通过防水与否鉴别口罩的真假,口罩的真假可以通过是否防水来鉴别,通过防水衣服不能鉴别口罩的真假。, Airpods Pro有一定的防水能力
121,589,2,口罩越厚防病毒效果越好,口罩防病毒的效果会因为厚度而增加。,口罩越厚防病毒效果不一定越好。,三层厚口罩热销中
122,790,6,“14天隔离法”能实现口罩循环使用,口罩循环使用能被实现如果“14天隔离法”,“14天隔离法”不能实现口罩循环使用,科技大佬将女士内衣当口罩带:不会造成二氧化碳循环入体
123,218,9,柳州一中学发现疫情不报口罩发少了,口罩由于柳州一中学发现疫情不报发少了,柳州一中学没有发现疫情不报口罩发少了,"阿汤哥黑西装显腿长,脸被口罩遮一大半,网友:口罩戴成防毒面具"
124,4,6,上海30天内禁止跨省旅游团,跨省旅游团在上海30天内被禁止,上海30天内不禁止跨省旅游团,山东加入门诊跨省联网直接结算国家试点
125,835,4,快递会传染病毒,快递是传染病毒的途径,快递盒不会传染病毒,快递盒里装快递
126,198,4,狂风暴雪会加速病毒传播,狂风暴雪会加速病毒传播,狂风暴雪不会加速病毒传播,狂风暴雪是个成语
127,1052,3,武汉来的快递要拒收,来自武汉的快递要拒收,武汉来的快递拒收是极端做法,来自武汉的快递应该需要做好消毒
128,1123,3,病毒感染的都是老年人,老年人容易被病毒感染,病毒感染的不都是老年人,老年人的社区活动增加了
129,928,6,成都大邑两名高度疑似感染者私自离院不知去向,两名高度疑似感染者私自离院不知去向发生在成都大邑,成都大邑没有两名高度疑似感染者私自离院不知去向,努力向上的成都 被世界看见了
130,417,4,辽宁省中小学和高校开学日期定了,辽宁省中小学和高校开学日期定了,辽宁省中小学和高校开学日期没有确定,中小学是教育的重点
131,780,7,福州市中医院领导及接诊的医生与护士要被隔离了,领导及接诊的医生与护士在福州市中医院要被隔离了,福州市中医院领导及接诊的医生与护士没有要被隔离了,西马领物将于11月5日正式开启!
132,329,6,疫情防控期间旅游景区只开放室外区域,旅游景区只开放室外区域在疫情防控期间,疫情防控期间旅游景区不只开放室外区域,云南独龙江旅游景区恢复开放 每日限预约200人
133,458,7,5月1日后全面恢复马拉松,马拉松于5月1日后全面恢复,5月1日后不会全面恢复马拉松,飒!2020重庆马拉松赛男女冠军都来自重庆
134,1133,3,没感冒时口罩反着戴,没感冒时口罩需要反着戴,没感冒时口罩没必要反着戴,感冒时需要戴口罩
135,1144,7,SARS是美国的生物战,美国的生物战是SARS,SARS不是美国的生物战,2003年 SARS危机考问中国
136,175,6,中国黑客试图窃取美新冠疫苗成果,美新冠疫苗成果被中国黑客试图窃取,没有中国黑客试图窃取美新冠疫苗成果,微软:朝俄黑客攻击多国疫苗公司 朝鲜黑客伪装成世卫代表
137,877,4,免洗洗手液能够取代流水冲洗,免洗洗手液能够取代流水冲洗,免洗洗手液是不能够取代流水冲洗,烧伤后应该用流水冲洗
138,308,8,新冠病毒会通过母婴垂直传播,母婴会垂直传播新冠病毒,新冠病毒不会通过母婴垂直传播,"五大场景,揭开母婴品牌一站式增长的关键"
139,443,4,纳豆能预防新冠肺炎,纳豆有预防新冠肺炎的作用,纳豆不能预防新冠肺炎,纳豆是能食用的
